[2025-01-19T18:17:13.359Z] debug: 	Importing configs...
[2025-01-19T18:17:13.490Z] info: 	Commit hash: c6a9a1afb5b43463fdfa57feb18277c67b2b3334
[2025-01-19T18:17:13.491Z] info: 	Build date: 1735118280815
[2025-01-19T18:17:13.629Z] info: 	Загрузчик модов: папка user/mod отсутствует, создаем...
[2025-01-19T18:17:13.687Z] info: 	Сервер: выполняем начальные коллбэки...
[2025-01-19T18:17:13.687Z] debug: 	OS: x64 | Windows 11 Pro | win32
[2025-01-19T18:17:13.687Z] debug: 	CPU: Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz cores: 16
[2025-01-19T18:17:13.688Z] debug: 	RAM: 31.85GB
[2025-01-19T18:17:13.688Z] debug: 	PATH: QzpcU1BUIFRhcmtvdlxFc2NhcGVGcm9tVGFya292XzE1LjUuMS4zMzQyMF8zLjEwLjRcRXNjYXBlRnJvbVRhcmtvdlxTUFQuU2VydmVyLmV4ZQ==
[2025-01-19T18:17:13.688Z] debug: 	PATH: QzpcU1BUIFRhcmtvdlxFc2NhcGVGcm9tVGFya292XzE1LjUuMS4zMzQyMF8zLjEwLjRcRXNjYXBlRnJvbVRhcmtvdlxTUFQuU2VydmVyLmV4ZQ==
[2025-01-19T18:17:13.688Z] debug: 	Server: 3.10.4
[2025-01-19T18:17:13.688Z] debug: 	Date: 1735118280815
[2025-01-19T18:17:13.688Z] debug: 	Commit: c6a9a1afb5b43463fdfa57feb18277c67b2b3334
[2025-01-19T18:17:13.691Z] info: 	Импортируем базу данных...
[2025-01-19T18:17:54.148Z] info: 	Импорт базы данных завершен
[2025-01-19T18:17:54.198Z] debug: 	0 Profiles took: 0.00ms to load.
[2025-01-19T18:17:58.707Z] debug: 	ID validation took: 1.48ms
[2025-01-19T18:17:58.708Z] debug: 	Added custom boss wave to bigmap of type pmcUSEC, time: -1, chance: 50, zone: 
[2025-01-19T18:17:58.708Z] debug: 	Added custom boss wave to bigmap of type pmcBEAR, time: -1, chance: 50, zone: 
[2025-01-19T18:17:58.708Z] debug: 	Added custom boss wave to woods of type pmcUSEC, time: -1, chance: 50, zone: 
[2025-01-19T18:17:58.708Z] debug: 	Added custom boss wave to woods of type pmcBEAR, time: -1, chance: 50, zone: 
[2025-01-19T18:17:58.708Z] debug: 	Added custom boss wave to sandbox_high of type pmcUSEC, time: -1, chance: 50, zone: 
[2025-01-19T18:17:58.708Z] debug: 	Added custom boss wave to sandbox_high of type pmcBEAR, time: -1, chance: 50, zone: 
[2025-01-19T18:17:58.711Z] succ: 	Запускаем веб-сервер на http://26.92.57.200:6969
[2025-01-19T18:17:58.711Z] succ: 	Запустили веб-сокет на ws://26.92.57.200:6969
[2025-01-19T18:17:58.711Z] succ: 	Сервер запущен, Удачной игры!!
[2025-01-19T18:17:58.712Z] debug: 	Skipping profile backup: Unable to read profiles directory
[2025-01-19T18:18:03.735Z] debug: 	Saved 0 profiles, took: 0.00ms
[2025-01-19T18:18:23.753Z] debug: 	Saved 0 profiles, took: 0.00ms
[2025-01-19T18:18:32.716Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\server\connect
[2025-01-19T18:18:32.734Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\ping
[2025-01-19T18:18:32.737Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\server\version
[2025-01-19T18:18:32.744Z] info: 	[Запрос клиента] 26.92.57.200 \files\launcher\bg.png
[2025-01-19T18:18:32.758Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\ping
[2025-01-19T18:18:32.962Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profiles
[2025-01-19T18:18:38.181Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\login
[2025-01-19T18:18:43.812Z] debug: 	Saved 0 profiles, took: 0.00ms
